49	109	La risposta è no.
116	176	Perché no!?
179	285	Non so cosa ti abbia fatto finire in galera...
286	421	Ma non ti aiuterò a vendicarti.
469	593	Ho visto fin troppi finire in quel modo.
621	750	E posso dirtelo,\nnon importa quanto tu lo voglia...
764	881	La miseria è l'unica cosa che ti aspetta alla fine.
947	1127	Se vuoi ancora andare avanti, mi serve una buona ragione.
1136	1241	Fino ad allora, non posso aiutarti.
1339	1438	E se dicessi... che non posso dirtelo?
1475	1531	Allora ti fermerò.
1532	1585	Qui e ora.
1737	1814	Lo prendo come un no.
1845	1902	Mi dispiace per questo.
1921	2019	Ma devo sapere la verità.
2024	2109	Non mi impedirà nessuno di farlo!
2115	2171	Ecco come stanno le cose.
2196	2360	Tu e io, non siamo poi così diversi.
2372	2457	Mi ricordi di mio fratello giurato.
2463	2557	Mi ricordi qualcuno anche tu.
2570	2628	Sai, mi sento sollevato.
2629	2785	Contro di te, non devo preoccuparmi di ucciderti per sbaglio.
2804	2844	Capito.\nGiusto.
2845	3021	Consideralo un test, allora.\nPer vedere quanto lo vuoi davvero.
